HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
-0.28208748,-0.047623474,-0.4917832,-0.1849133,1.0407017,0.84297067,1.7787629
-0.30281535,-0.015055766,-0.50888705,-0.20427844,0.98862344,0.89202315,1.4699508
-0.3857266,-0.17789447,-0.5429348,-0.24247077,0.6770067,0.64992553,1.4699508
-0.3960905,-0.08019124,-0.5429348,-0.22310564,0.702619,0.7464481,1.1612511
-0.3546349,-0.08019124,-0.50888705,-0.1849133,0.75469744,0.7464481,0.81282437
-0.31317922,0.017511941,-0.50313246,-0.14672099,0.91093266,0.89202315,0.7257177
-0.07480923,0.40832502,-0.4065838,-0.012778881,1.7433327,1.6626211,0.9078089
-0.033353556,0.57116383,-0.3781307,0.12116323,1.795411,2.2417562,0.9474232
-0.32354313,0.44089273,-0.35543218,0.19754787,-0.02477064,0.98854566,0.78120035
-0.4788472,0.21291853,-0.4406316,0.006048305,-0.25955003,0.89202315,0.30616516
-0.4166637,0.21291853,-0.4292823,0.025413437,-0.02477064,1.0834858,0.59123135
-0.29245138,0.21291853,-0.3952345,0.025413437,0.39100254,1.0834858,0.606987
-0.45811933,0.21291853,-0.4577354,0.025413437,-0.12892736,1.1325383,0.5041247
-0.45811933,0.27805394,-0.46333012,0.23574018,0.104998566,1.2765309,0.43288636
-0.3960905,0.40832502,-0.35543218,0.29275975,-0.36285308,0.98854566,0.54362655
-0.3960905,0.5060283,-0.34983745,0.29275975,-0.3372408,1.1325383,0.29029703
-0.53066677,0.14778301,-0.47467938,-0.012778881,-0.31162852,1.0834858,0.5357487
-0.44775543,0.115215294,-0.48602864,-0.0509712,0.0785324,1.0834858,0.49613437
-0.31317922,0.3757573,-0.3440829,0.21637505,0.0785324,1.0834858,0.6703475
-0.33390704,0.44089273,-0.35543218,0.21637505,0.026454138,1.1800083,0.44864202
-0.3546349,0.44089273,-0.35543218,0.21637505,-0.10331507,1.1325383,0.3536575
-0.3960905,0.40832502,-0.3667814,0.21637505,-0.25955003,1.1325383,0.36952588
-0.43739152,0.40832502,-0.3952345,0.19754787,-0.31162852,1.1325383,0.36952588
-0.4684832,0.3757573,-0.4065838,0.17818274,-0.44139755,1.0834858,0.56748515
-0.37536272,0.47346053,-0.31562984,0.27393258,-0.4670098,1.1325383,0.7178399
-0.3857266,0.44089273,-0.2873366,0.29275975,-0.5455543,0.98854566,0.55949485
-0.3857266,0.5060283,-0.2873366,0.36914438,-0.5976327,0.98854566,0.5991092
-0.3857266,0.47346053,-0.28158203,0.36914438,-0.67532325,0.9394932,0.6782256
-0.4788472,0.47346053,-0.35543218,0.36914438,-0.67532325,0.9394932,0.74946386
-0.34427094,0.57116383,-0.25312895,0.48425928,-0.4670098,1.0360157,0.84456086
-0.33390704,0.57116383,-0.3440829,0.36914438,0.00084164686,1.0360157,0.62285537
-0.31317922,0.538596,-0.34983745,0.36914438,0.0785324,1.1325383,0.7178399
-0.32354313,0.57116383,-0.33273363,0.46489415,-0.05123661,1.1325383,0.6624697
-0.37536272,0.538596,-0.33832833,0.40787464,-0.25955003,1.0360157,0.40914017
0.34995663,1.3853574,0.31481382,1.3443936,0.052920107,1.1800083,0.70197153
0.6399915,1.6128458,0.55906284,0.92374,0.5993162,1.3730534,0.5278709
0.308501,1.3853574,0.33191764,0.71341324,0.104998566,1.6151508,0.6862159
0.422504,1.7756846,0.44541028,0.94310516,0.00084164686,1.5186284,0.61497754
0.17377007,1.2550865,0.2296144,0.65585583,-0.076848894,1.7591436,0.741586
0.43286797,1.4825747,0.3659655,0.88554764,-0.18100561,1.4695759,0.82081467
0.33959267,1.320222,0.3773147,1.0001247,-0.076848894,1.5186284,0.6703475
0.34995663,1.320222,0.3546162,0.8661825,0.20915529,1.4695759,1.2087432
0.4639596,1.2550865,0.36021087,0.88554764,0.3389243,1.5660987,1.2562356
0.3810484,1.0922478,0.31481382,0.54127884,0.104998566,1.4695759,1.4778286
0.36032045,0.99454445,0.30346453,0.6176635,0.36453658,1.5186284,1.4145806
0.25668144,1.0271121,0.2125106,0.71341324,0.20915529,1.6626211,0.84456086
0.27740923,1.2225189,0.3659655,0.7327784,-0.02477064,1.6626211,0.81282437
0.27740923,1.0596801,0.3432669,0.94310516,-0.3372408,1.4695759,1.4145806
0.422504,1.6128458,0.46810883,0.80916303,-0.02477064,1.3730534,1.644164
0.32922882,1.5151424,0.3261631,1.0958744,-0.28516233,1.3730534,1.2719913
0.422504,1.2550865,0.4227118,0.75160563,0.00084164686,1.6626211,1.0820222
0.32922882,0.99454445,0.3432669,0.63702863,-0.38931906,1.3730534,1.3194836
0.4743236,1.2876543,0.42846632,1.0765092,-0.28516233,1.5660987,1.2641134
0.41214004,1.2550865,0.434061,0.88554764,-0.05123661,1.6626211,1.0503982
0.7643585,1.5151424,0.6386674,0.75160563,0.6249285,1.8066137,1.1928751
0.5365071,1.2225189,0.51366574,1.0958744,0.5472377,1.7591436,1.0029058
0.4639596,1.1248156,0.3773147,0.65585583,0.52077174,1.7591436,1.3116056
0.37068444,1.0271121,0.28076604,0.46489415,0.5993162,1.8066137,1.4224584
0.6296276,1.4500071,0.51366574,0.94310516,0.49515924,1.6626211,1.5015748
0.69181114,1.5802778,0.541959,0.9043749,0.93739843,1.7591436,1.6599197
0.36032045,1.4174391,0.3488616,0.94310516,0.26123354,1.6626211,1.359098
0.24631746,1.3853574,0.2580675,0.98129755,0.13061085,1.7100911,1.7154025
0.39141223,1.6128458,0.40001324,1.1910863,0.0785324,1.7100911,1.7628946
0.308501,1.6128458,0.38866395,1.0001247,0.026454138,1.6151508,1.8500013
0.32922882,1.3527898,0.29211524,1.1722591,0.0785324,1.9031363,1.6916562
0.5365071,1.4825747,0.4227118,1.1340668,0.702619,1.8556662,1.9766101
0.5261432,1.3853574,0.434061,0.92374,0.5993162,1.8556662,1.937108
0.48468757,1.3527898,0.40576783,0.9043749,0.52077174,1.7100911,1.5570575
0.54687095,1.3527898,0.40001324,0.82799023,0.8332419,1.7591436,0.76533204
0.43286797,1.3527898,0.30921912,0.80916303,0.702619,1.9521885,0.84456086
0.29813704,1.7756846,0.3375124,1.2486439,0.23476757,1.7100911,0.5278709
0.25668144,1.7756846,0.30921912,1.2104515,0.15707682,1.7100911,0.43288636
0.34995663,1.84082,0.25231296,0.98129755,0.026454138,1.6626211,0.78120035
0.20486185,1.3853574,0.2580675,1.0001247,-0.10331507,1.6151508,1.216621
0.15304227,1.320222,0.23536892,0.9619324,-0.05123661,1.6151508,1.4778286
0.23595348,1.6454135,0.144415,0.84735537,-0.10331507,1.6626211,1.4858189
0.22558965,1.320222,0.15576428,0.92374,-0.18100561,1.5660987,1.1136463
0.33959267,1.6779813,0.20691584,1.1528939,0.104998566,1.7100911,1.0266521
0.6090545,1.6128458,0.434061,1.0765092,0.702619,1.8556662,0.9395454
0.6399915,1.938523,0.40576783,1.1722591,0.78116345,1.9521885,0.8761849
0.4535958,1.8733877,0.39441857,1.1340668,0.57285,1.999659,0.78120035
0.6090545,2.0362263,0.46251407,1.2104515,0.41661483,1.9031363,1.200753
0.66071934,2.0036585,0.48521265,1.2104515,0.6505407,1.8066137,1.1770067
0.7229029,1.6779813,0.59886515,1.3062012,1.0407017,1.8556662,1.6679101
0.422504,1.84082,0.3488616,0.98129755,0.49515924,1.8066137,1.6599197
0.37068444,1.6128458,0.33191764,1.1910863,0.28684583,1.8066137,1.6361736
0.44323182,1.9059554,0.38866395,1.3825859,0.13061085,1.7591436,1.8262552
0.4743236,1.938523,0.3375124,1.1910863,0.15707682,1.9031363,1.9132494
0.36032045,1.4174391,0.29211524,0.94310516,0.39100254,1.9521885,2.0715945
0.56759876,1.4500071,0.42846632,0.88554764,0.75469744,1.9521885,1.6045496
0.57796276,1.3853574,0.42846632,0.88554764,1.1192461,2.192704,1.6045496
0.26704526,0.86427355,0.3546162,0.77097076,-0.44139755,0.6024553,1.9132494
0.3810484,0.96197677,0.39441857,0.77097076,-0.02477064,1.0360157,1.1770067
0.422504,1.320222,0.3546162,0.80916303,0.443081,1.9031363,1.7787629
0.308501,1.3527898,0.30921912,0.5988363,0.23476757,1.7591436,1.4540824
0.78508633,2.1339297,0.7465654,1.4396055,0.15707682,1.8556662,1.2087432
0.67108333,1.7105489,0.6556115,1.1528939,0.18268912,1.8556662,1.2641134
0.7539945,2.0362263,0.68406457,1.268009,0.13061085,1.9031363,1.2641134
0.7229029,2.0362263,0.661366,1.3825859,0.00084164686,1.7591436,1.2719913
0.4743236,1.6128458,0.541959,1.1147016,-0.12892736,1.6626211,1.5966718
0.56759876,1.7105489,0.47961795,0.98129755,0.052920107,1.7100911,1.7707725
0.49505138,1.2550865,0.3432669,0.5794712,0.28684583,1.9521885,1.8737476
0.87836164,1.6128458,0.67271525,1.0383171,0.93739843,1.8066137,2.0320928
0.5883267,1.5151424,0.5079112,1.0576822,0.57285,1.9031363,1.9132494
0.5261432,1.8733877,0.44541028,1.2486439,0.49515924,2.0487113,1.7550168
0.5157792,1.9059554,0.45675957,1.0194898,0.36453658,1.9521885,1.7707725
0.79545027,1.8733877,0.6215637,1.4207783,0.72908515,2.1452339,2.0478485
0.88872546,2.1013618,0.6500167,1.4396055,1.3787842,2.2892263,1.8420111
0.55723494,1.6128458,0.47961795,1.0383171,0.52077174,1.9031363,1.2324893
0.34995663,1.189951,0.3205684,0.80916303,0.28684583,1.7591436,1.3987123
0.39141223,1.5802778,0.4227118,0.9043749,0.28684583,1.999659,1.5808034
0.49505138,1.5151424,0.41136253,0.8661825,0.28684583,1.8066137,1.7866408
0.37068444,1.4174391,0.3546162,1.0383171,0.15707682,2.2892263,1.9449859
0.66071934,1.6128458,0.5192604,1.1147016,1.1969368,2.0487113,2.0715945
0.5883267,1.3853574,0.44541028,0.82799023,0.85885423,1.9521885,1.8895032
0.49505138,1.2550865,0.38290945,0.82799023,0.702619,1.8066137,1.8341333
0.54687095,1.2225189,0.41711703,0.75160563,0.78116345,1.7100911,1.8816254
0.4639596,1.2550865,0.3546162,0.7327784,0.702619,1.9031363,1.9132494
0.36032045,1.0922478,0.31481382,0.5988363,0.49515924,1.8556662,1.8262552
0.6503554,1.7756846,0.5023165,1.0194898,0.23476757,1.8066137,1.7707725
0.422504,1.4500071,0.28636074,1.0958744,0.026454138,1.6151508,1.5966718
0.4743236,1.6128458,0.45116487,0.80916303,-0.12892736,1.7591436,1.7628946
0.49505138,1.5802778,0.5023165,1.1147016,-0.12892736,1.6626211,1.8895032
0.32922882,1.4825747,0.20691584,0.82799023,0.15707682,2.0961814,1.8578792
0.26704526,1.1573832,0.25231296,0.7897979,0.026454138,1.9521885,1.7787629
0.57796276,1.6779813,0.5079112,1.0958744,0.23476757,2.4332192,1.7312706
0.6503554,1.1573832,0.5648173,0.694586,0.75469744,1.6626211,1.7550168
0.7539945,1.9710909,0.71235776,1.516528,0.4686933,1.7100911,1.6757879
0.78508633,2.068794,0.7465654,1.3825859,0.6249285,1.8556662,1.7787629
0.5365071,1.2876543,0.40001324,0.71341324,0.31245813,1.8556662,2.0558388
0.6399915,1.3527898,0.53636426,0.88554764,0.49515924,1.6626211,1.7470264
0.84726983,1.3853574,0.6386674,1.0576822,0.85885423,1.7591436,1.7470264
0.4535958,1.2876543,0.37156016,0.67522097,-0.02477064,1.3255833,1.7945186
0.41214004,1.5477102,0.45116487,0.82799023,0.052920107,1.4221059,1.8974937
0.27740923,1.4174391,0.3659655,0.75160563,-0.28516233,1.3255833,1.937108
0.43286797,1.0271121,0.37156016,0.84735537,-0.23308408,1.2290608,1.6045496
0.33959267,0.96197677,0.38290945,0.5988363,-0.23308408,1.1800083,1.4620727
0.5157792,1.2876543,0.47386336,0.98129755,0.26123354,1.3255833,1.7945186
0.4743236,1.0596801,0.4227118,0.694586,0.28684583,1.3255833,1.0820222
0.23595348,0.70143473,0.2125106,0.40787464,0.104998566,1.2765309,1.683666
0.308501,0.99454445,0.25231296,0.3503172,0.36453658,1.4695759,1.7470264
0.13231432,0.3757573,0.12171645,-0.03214401,0.4686933,1.6151508,1.7154025
0.44323182,0.6037315,0.38866395,0.25456744,0.23476757,1.3255833,1.6679101
0.88872546,1.2550865,0.8885112,0.84735537,0.23476757,1.3730534,1.5491794
0.7643585,1.4825747,0.723867,0.80916303,-0.18100561,1.2765309,1.5570575
1.0130924,2.0036585,1.0419661,1.4207783,-0.36285308,1.1800083,1.5808034
0.7643585,2.0036585,0.9964092,1.5547204,-0.38931906,1.1325383,1.4620727
1.0234565,2.068794,1.0304569,1.6499321,-0.12892736,1.3730534,1.5095651
0.7643585,1.4500071,0.723867,1.0576822,-0.25955003,1.6151508,1.4224584
0.940545,1.7105489,0.95676666,1.1722591,0.20915529,1.5186284,1.3512201
1.1580325,1.7756846,1.0475607,1.1528939,0.28684583,1.3255833,1.3116056
1.0234565,1.8733877,0.9794652,1.286836,0.3389243,1.5660987,1.200753
0.7539945,1.4500071,0.74081093,1.2104515,0.0785324,1.5660987,1.4858189
0.7229029,1.6779813,0.6386674,1.0958744,0.026454138,1.3730534,1.6045496
